프로젝트 명,엔드포인트 URL,HTTP,엔드포인트 클래스,엔드포인트 메소드,엔드포인트 정의 위치,endpoint_id
FinUp.Auth.Api,api/auth/active,GET,AuthController,IsActive,FinUp.Auth.Api/Controllers/AuthController.cs:289,1
FinUp.Auth.Api,api/auth/app/apptoken,POST,AuthController,GetAuthAppToken,FinUp.Auth.Api/Controllers/AuthController.cs:31,3
FinUp.Auth.Api,api/auth/logout,GET,AuthController,Logout,FinUp.Auth.Api/Controllers/AuthController.cs:264,6
FinUp.Auth.Api,api/auth/test,GET,AuthController,TestToken,FinUp.Auth.Api/Controllers/AuthController.cs:252,8
FinUp.Auth.Api,api/Home,GET,HomeController,Index,FinUp.Auth.Api/Controllers/HomeController.cs:9,10
FinUp.Chat.Api,api/app/chat/alarmlist,(unspecified),AppController,Alarm,FinUp.Chat.Api/Controllers/AppController.Chat.cs:1057,12
FinUp.Chat.Api,api/app/chat/auth/last/signal,(unspecified),AppController,ChatAuthLastSignalProcess,FinUp.Chat.Api/Controllers/AppController.Chat.cs:404,14
FinUp.Chat.Api,api/app/chat/auth/signal/edit,(unspecified),AppController,ChatAuthSignalEditProcess,FinUp.Chat.Api/Controllers/AppController.Chat.cs:421,15
FinUp.Chat.Api,api/app/chat/auth/signal/edit/preprocess,(unspecified),AppController,ChatAuthSignalEditPreprocess,FinUp.Chat.Api/Controllers/AppController.Chat.cs:437,16
FinUp.Chat.Api,api/app/chat/bannedword/refresh,GET,AppController,RefreshChatBannedWord,FinUp.Chat.Api/Controllers/AppController.Chat.cs:755,17
FinUp.Chat.Api,api/app/chat/banner,(unspecified),AppController,ChatBannerList,FinUp.Chat.Api/Controllers/AppController.Chat.cs:972,18
FinUp.Chat.Api,api/app/chat/device,(unspecified),AppController,ChatDevice,FinUp.Chat.Api/Controllers/AppController.Chat.cs:914,21
FinUp.Chat.Api,api/app/chat/emoticon,GET,AppController,Emoticon,FinUp.Chat.Api/Controllers/AppController.Chat.cs:1048,22
FinUp.Chat.Api,api/app/chat/favorite,(unspecified),AppController,ChatFavorite,FinUp.Chat.Api/Controllers/AppController.Chat.cs:938,23
FinUp.Chat.Api,api/app/chat/filedownload,GET,AppController,FileDownload,FinUp.Chat.Api/Controllers/AppController.Chat.cs:666,24
FinUp.Chat.Api,api/app/chat/files,(unspecified),AppController,ChatAuthFiles,FinUp.Chat.Api/Controllers/AppController.Chat.cs:373,25
FinUp.Chat.Api,api/app/chat/filespaging,(unspecified),AppController,ChatAuthFilesPaging,FinUp.Chat.Api/Controllers/AppController.Chat.cs:456,26
